,proof_generation_time,proof_verification_time,total_execution_time,witness_generation_time,torch_model_predict_time
count,210.0,210.0,210.0,210.0,210.0
mean,54.831188222340174,0.8039343311673119,56.04093150070735,0.3741810094742548,0.014298982847304523
std,11.316151562376302,0.28676447339624905,11.550455140272748,0.14848715217378616,0.012498826173101897
min,45.45917463302612,0.5284526348114014,46.70912051200867,0.2185642719268798,0.0026335716247558
25%,47.36330461502075,0.6207287907600403,48.36032772064209,0.2623834013938903,0.007934331893920826
50%,49.62449753284454,0.7246670722961426,50.604849100112915,0.32405054569244385,0.0107302665710449
75%,59.25337898731232,0.8880911469459534,60.74384081363678,0.4437836408615112,0.0158663988113403
max,110.10041809082033,2.5797455310821533,111.541011095047,1.1321814060211182,0.1302917003631591
