,proof_generation_time,proof_verification_time,total_execution_time,witness_generation_time,torch_model_predict_time
count,210.0,210.0,210.0,210.0,210.0
mean,45.448847562926154,0.674712568237668,46.441237537066144,0.2946529649552845,0.008392566726321219
std,1.4117911154433693,0.14189252576504313,1.4334455083750306,0.07521439690272758,0.00440969707873013
min,43.1998438835144,0.5062727928161621,44.00271368026733,0.2229292392730713,0.002577781677246
25%,44.59066694974899,0.5685542821884155,45.51761156320572,0.2377941012382507,0.005814969539642325
50%,45.15462923049927,0.648783802986145,46.11054754257202,0.25489509105682373,0.0074820518493652
75%,46.063117146492004,0.732254147529602,47.05477386713028,0.3463658690452575,0.009729206562042176
max,53.19343209266663,1.730367660522461,54.27967309951782,0.5614917278289795,0.0344748497009277
