,proof_generation_time,proof_verification_time,total_execution_time,witness_generation_time,torch_model_predict_time
count,210.0,210.0,210.0,210.0,210.0
mean,48.336812482561385,0.7311995585759481,49.45570771353585,0.35977966898963565,0.009826711245945472
std,5.753112608104234,0.2352335480804823,5.841275027993698,0.14476560571810104,0.00796503178713069
min,43.41009330749512,0.5398209095001221,44.41042113304138,0.2145097255706787,0.002488374710083
25%,44.887138068676,0.6145471930503845,46.00680202245713,0.27487659454345703,0.005898654460906925
50%,45.860673666000366,0.6886305809020996,47.02670872211456,0.3293110132217407,0.008271455764770449
75%,49.92121756076813,0.7680053114891052,51.06495821475983,0.4053636193275451,0.0106808543205261
max,81.72349119186401,2.5023393630981445,82.8845443725586,1.7519681453704834,0.0872406959533691
